Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:195855
Palabra:artificial Frec:6 LogProb:-10.326352777705333
Palabra:artificially Frec:4 LogProb:-10.662825014326547
Palabra:artists Frec:10 LogProb:-9.874367653962276
Palabra:asap Frec:10 LogProb:-9.874367653962276
Palabra:ashamed Frec:43 LogProb:-8.488073292842385
Palabra:asked Frec:100 LogProb:-7.657142409919387
Palabra:asks Frec:16 LogProb:-9.439049582704431
Palabra:aspect Frec:4 LogProb:-10.662825014326547
Palabra:aspects Frec:2 LogProb:-11.173650638092537
Palabra:ass Frec:76 LogProb:-7.928457504906962
Palabra:assault Frec:7 LogProb:-10.19282138508081
Palabra:assaulted Frec:5 LogProb:-10.480503457532592
Palabra:assaults Frec:2 LogProb:-11.173650638092537
Palabra:asses Frec:6 LogProb:-10.326352777705333
Palabra:assess Frec:5 LogProb:-10.480503457532592
Palabra:assessed Frec:3 LogProb:-10.885968565640756
Palabra:assessing Frec:3 LogProb:-10.885968565640756
Palabra:assessment Frec:4 LogProb:-10.662825014326547
Palabra:asset Frec:15 LogProb:-9.499674204520865
Palabra:assets Frec:16 LogProb:-9.439049582704431
Palabra:asshole Frec:6 LogProb:-10.326352777705333
Palabra:assholes Frec:29 LogProb:-8.87106554509849
Palabra:assist Frec:13 LogProb:-9.633205597145388
Palabra:assistance Frec:36 LogProb:-8.661345014116423
Palabra:assistant Frec:3 LogProb:-10.885968565640756
Palabra:assistants Frec:5 LogProb:-10.480503457532592
Palabra:assisting Frec:3 LogProb:-10.885968565640756
Palabra:assoc Frec:2 LogProb:-11.173650638092537
Palabra:associate Frec:8 LogProb:-10.075038349424426
Palabra:associates Frec:10 LogProb:-9.874367653962276
Palabra:association Frec:11 LogProb:-9.787356276972647
Palabra:assume Frec:10 LogProb:-9.874367653962276
Palabra:assuming Frec:2 LogProb:-11.173650638092537
Palabra:assumptions Frec:3 LogProb:-10.885968565640756
Palabra:assurances Frec:2 LogProb:-11.173650638092537
Palabra:assure Frec:5 LogProb:-10.480503457532592
Palabra:assured Frec:3 LogProb:-10.885968565640756
Palabra:assures Frec:6 LogProb:-10.326352777705333
Palabra:assuring Frec:2 LogProb:-11.173650638092537
Palabra:asthma Frec:19 LogProb:-9.276530653206656
Palabra:asthmatic Frec:2 LogProb:-11.173650638092537
Palabra:astronomical Frec:4 LogProb:-10.662825014326547
Palabra:asymptomatic Frec:13 LogProb:-9.633205597145388
Palabra:ate Frec:7 LogProb:-10.19282138508081
Palabra:athletes Frec:2 LogProb:-11.173650638092537
Palabra:atlas Frec:2 LogProb:-11.173650638092537
Palabra:atomic Frec:2 LogProb:-11.173650638092537
Palabra:attached Frec:6 LogProb:-10.326352777705333
Palabra:attaching Frec:2 LogProb:-11.173650638092537
Palabra:attachments Frec:4 LogProb:-10.662825014326547
Palabra:attack Frec:38 LogProb:-8.608701280631
Palabra:attacked Frec:4 LogProb:-10.662825014326547
Palabra:attacking Frec:10 LogProb:-9.874367653962276
Palabra:attacks Frec:24 LogProb:-9.053387101892445
Palabra:attempt Frec:19 LogProb:-9.276530653206656
Palabra:attempted Frec:4 LogProb:-10.662825014326547
Palabra:attempting Frec:12 LogProb:-9.70731356929911
Palabra:attempts Frec:10 LogProb:-9.874367653962276
Palabra:attend Frec:9 LogProb:-9.9696778337666
Palabra:attendant Frec:2 LogProb:-11.173650638092537
Palabra:attendants Frec:6 LogProb:-10.326352777705333
Palabra:attended Frec:3 LogProb:-10.885968565640756
Palabra:attendees Frec:2 LogProb:-11.173650638092537
Palabra:attending Frec:5 LogProb:-10.480503457532592
Palabra:attention Frec:32 LogProb:-8.775755365294167
Palabra:attitude Frec:11 LogProb:-9.787356276972647
Palabra:attitudes Frec:9 LogProb:-9.9696778337666
Palabra:attorney Frec:54 LogProb:-8.264929741528174
Palabra:attorneys Frec:8 LogProb:-10.075038349424426
Palabra:attract Frec:2 LogProb:-11.173650638092537
Palabra:attracted Frec:2 LogProb:-11.173650638092537
Palabra:attributed Frec:2 LogProb:-11.173650638092537
Palabra:auction Frec:7 LogProb:-10.19282138508081
Palabra:auctions Frec:3 LogProb:-10.885968565640756
Palabra:audacity Frec:3 LogProb:-10.885968565640756
Palabra:audience Frec:5 LogProb:-10.480503457532592
Palabra:audio Frec:5 LogProb:-10.480503457532592
Palabra:august Frec:6 LogProb:-10.326352777705333
