Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:378146
Palabra:seemed Frec:8 LogProb:-10.761159981921871
Palabra:seems Frec:78 LogProb:-8.58893670679107
Palabra:seen Frec:196 LogProb:-7.675180830520103
Palabra:self Frec:161 LogProb:-7.870788224025707
Palabra:sensible Frec:18 LogProb:-10.01394558009165
Palabra:sent Frec:58 LogProb:-8.88084711535237
Palabra:serious Frec:102 LogProb:-8.323655571028455
Palabra:seriously Frec:135 LogProb:-8.04572967352204
Palabra:seven Frec:9 LogProb:-10.655799466264046
Palabra:several Frec:69 LogProb:-8.70988931720873
Palabra:shall Frec:20 LogProb:-9.913862121534669
Palabra:she Frec:247 LogProb:-7.444955813093109
Palabra:she's Frec:7 LogProb:-10.878943017578255
Palabra:should Frec:630 LogProb:-6.511078696716878
Palabra:shouldn't Frec:15 LogProb:-10.18579583701831
Palabra:since Frec:307 LogProb:-7.228284776284517
Palabra:six Frec:36 LogProb:-9.347466646613867
Palabra:some Frec:816 LogProb:-6.252745464398088
Palabra:somebody Frec:12 LogProb:-10.393435201796555
Palabra:somehow Frec:7 LogProb:-10.878943017578255
Palabra:someone Frec:151 LogProb:-7.934504038411815
Palabra:something Frec:130 LogProb:-8.08318723605694
Palabra:sometimes Frec:17 LogProb:-10.068012801361927
Palabra:somewhat Frec:9 LogProb:-10.655799466264046
Palabra:somewhere Frec:9 LogProb:-10.655799466264046
Palabra:soon Frec:111 LogProb:-8.239885687962996
Palabra:sorry Frec:53 LogProb:-8.969400512693817
Palabra:still Frec:523 LogProb:-6.696892874937049
Palabra:sub Frec:5 LogProb:-11.166625090030037
Palabra:such Frec:181 LogProb:-7.754377872181296
Palabra:sure Frec:121 LogProb:-8.154363514524835
Palabra:take Frec:432 LogProb:-6.887646831255601
Palabra:taken Frec:87 LogProb:-8.481047744779884
Palabra:tell Frec:75 LogProb:-8.62765121897176
Palabra:than Frec:643 LogProb:-6.490685833153737
Palabra:thank Frec:83 LogProb:-8.527567760414778
Palabra:thanks Frec:68 LogProb:-8.724278054660832
Palabra:that Frec:2578 LogProb:-5.103227553376747
Palabra:that's Frec:90 LogProb:-8.447525052741241
Palabra:thats Frec:18 LogProb:-10.01394558009165
Palabra:the Frec:18280 LogProb:-3.1447670111510053
Palabra:their Frec:1302 LogProb:-5.785959982133246
Palabra:them Frec:662 LogProb:-6.461609569072229
Palabra:themselves Frec:103 LogProb:-8.313993660116719
Palabra:then Frec:345 LogProb:-7.111945784200366
Palabra:there Frec:1026 LogProb:-6.023987349329533
Palabra:there's Frec:101 LogProb:-8.33341174597382
Palabra:therefore Frec:14 LogProb:-10.25033435815588
Palabra:theres Frec:20 LogProb:-9.913862121534669
Palabra:these Frec:597 LogProb:-6.56479380530746
Palabra:they Frec:1642 LogProb:-5.554105441220823
Palabra:they'd Frec:7 LogProb:-10.878943017578255
Palabra:they'll Frec:6 LogProb:-11.012474410202778
Palabra:they're Frec:84 LogProb:-8.515733302767774
Palabra:they've Frec:28 LogProb:-9.591088729271616
Palabra:think Frec:400 LogProb:-6.964423131951522
Palabra:third Frec:18 LogProb:-10.01394558009165
Palabra:this Frec:3205 LogProb:-4.885605226088593
Palabra:those Frec:473 LogProb:-6.797177237563014
Palabra:though Frec:68 LogProb:-8.724278054660832
Palabra:three Frec:89 LogProb:-8.458574888927826
Palabra:through Frec:244 LogProb:-7.457126348713364
Palabra:throughout Frec:27 LogProb:-9.626180049082887
Palabra:thru Frec:25 LogProb:-9.70028802123661
Palabra:thus Frec:7 LogProb:-10.878943017578255
Palabra:together Frec:103 LogProb:-8.313993660116719
Palabra:too Frec:263 LogProb:-7.382435456111775
Palabra:took Frec:52 LogProb:-8.988092645705969
Palabra:toward Frec:18 LogProb:-10.01394558009165
Palabra:towards Frec:28 LogProb:-9.591088729271616
Palabra:tried Frec:47 LogProb:-9.0871835483502
Palabra:tries Frec:11 LogProb:-10.473477909470091
Palabra:truly Frec:14 LogProb:-10.25033435815588
Palabra:try Frec:119 LogProb:-8.170892816476044
Palabra:trying Frec:231 LogProb:-7.511647187591781
Palabra:twice Frec:20 LogProb:-9.913862121534669
Palabra:two Frec:250 LogProb:-7.432931620126308
Palabra:under Frec:174 LogProb:-7.793598585334577
Palabra:unfortunately Frec:48 LogProb:-9.066564261147464
Palabra:unless Frec:58 LogProb:-8.88084711535237
Palabra:unlikely Frec:12 LogProb:-10.393435201796555
Palabra:until Frec:139 LogProb:-8.016742136648787
Palabra:upon Frec:14 LogProb:-10.25033435815588
Palabra:use Frec:267 LogProb:-7.3673975787472346
Palabra:used Frec:123 LogProb:-8.138102993653053
Palabra:useful Frec:7 LogProb:-10.878943017578255
Palabra:uses Frec:19 LogProb:-9.9626522857041
Palabra:using Frec:162 LogProb:-7.864634358451329
Palabra:usually Frec:20 LogProb:-9.913862121534669
Palabra:value Frec:30 LogProb:-9.524397354772944
Palabra:various Frec:21 LogProb:-9.867342105899775
Palabra:very Frec:269 LogProb:-7.359962600259716
Palabra:via Frec:491 LogProb:-6.759905842765783
Palabra:want Frec:248 LogProb:-7.440931662793384
Palabra:wants Frec:49 LogProb:-9.046361553829945
Palabra:was Frec:1045 LogProb:-6.0056559146332225
Palabra:wasn't Frec:14 LogProb:-10.25033435815588
Palabra:way Frec:300 LogProb:-7.251274294509216
Palabra:we'd Frec:5 LogProb:-11.166625090030037
Palabra:we'll Frec:23 LogProb:-9.780330728910146
Palabra:we're Frec:94 LogProb:-8.404507667657551
Palabra:we've Frec:28 LogProb:-9.591088729271616
Palabra:welcome Frec:7 LogProb:-10.878943017578255
Palabra:well Frec:180 LogProb:-7.759887527992265
Palabra:went Frec:284 LogProb:-7.30589537898944
Palabra:were Frec:457 LogProb:-6.831515375143906
Palabra:weren't Frec:9 LogProb:-10.655799466264046
Palabra:what Frec:1046 LogProb:-6.004700348387554
Palabra:what's Frec:63 LogProb:-8.79950147589842
Palabra:whatever Frec:29 LogProb:-9.557187177595935
Palabra:when Frec:856 LogProb:-6.204946640660311
Palabra:whenever Frec:10 LogProb:-10.56048928645972
Palabra:where Frec:302 LogProb:-7.244651753748722
Palabra:where's Frec:6 LogProb:-11.012474410202778
Palabra:wherever Frec:7 LogProb:-10.878943017578255
Palabra:whether Frec:50 LogProb:-9.026558926533765
Palabra:which Frec:377 LogProb:-7.023490363638503
Palabra:while Frec:399 LogProb:-6.966920012150109
Palabra:who Frec:1121 LogProb:-5.93551647317545
Palabra:who's Frec:19 LogProb:-9.9626522857041
Palabra:whoever Frec:9 LogProb:-10.655799466264046
Palabra:whole Frec:97 LogProb:-8.373417080587519
Palabra:whom Frec:5 LogProb:-11.166625090030037
Palabra:whose Frec:16 LogProb:-10.125171215201874
Palabra:why Frec:541 LogProb:-6.663118557818445
Palabra:will Frec:1802 LogProb:-5.4611773360547735
Palabra:willing Frec:12 LogProb:-10.393435201796555
Palabra:wish Frec:20 LogProb:-9.913862121534669
Palabra:with Frec:2674 LogProb:-5.066679899927984
Palabra:within Frec:54 LogProb:-8.95105137402562
Palabra:without Frec:202 LogProb:-7.645178580216304
Palabra:won't Frec:29 LogProb:-9.557187177595935
Palabra:wonder Frec:55 LogProb:-8.933032868522941
Palabra:would Frec:437 LogProb:-6.876165648881645
Palabra:wouldn't Frec:20 LogProb:-9.913862121534669
Palabra:y'all Frec:14 LogProb:-10.25033435815588
Palabra:yes Frec:44 LogProb:-9.151722069487771
Palabra:yet Frec:162 LogProb:-7.864634358451329
Palabra:you Frec:3021 LogProb:-4.944710416425407
Palabra:you'd Frec:7 LogProb:-10.878943017578255
Palabra:you'll Frec:19 LogProb:-9.9626522857041
Palabra:you're Frec:120 LogProb:-8.16259401366135
Palabra:you've Frec:30 LogProb:-9.524397354772944
Palabra:your Frec:1255 LogProb:-5.822697212229947
Palabra:yours Frec:13 LogProb:-10.319327229642832
Palabra:yourself Frec:83 LogProb:-8.527567760414778
Palabra:yourselves Frec:19 LogProb:-9.9626522857041
Palabra:zero Frec:49 LogProb:-9.046361553829945
