Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:223478
Palabra:ammo Frec:7 LogProb:-10.314392007207069
Palabra:ammonia Frec:3 LogProb:-11.007539187767014
Palabra:amount Frec:69 LogProb:-8.145338306837544
Palabra:amounts Frec:22 LogProb:-9.258339332957755
Palabra:amp Frec:2656 LogProb:-4.508880603127091
Palabra:ample Frec:6 LogProb:-10.447923399831591
Palabra:amplified Frec:2 LogProb:-11.295221260218796
Palabra:amusement Frec:3 LogProb:-11.007539187767014
Palabra:amusing Frec:2 LogProb:-11.295221260218796
Palabra:analyses Frec:2 LogProb:-11.295221260218796
Palabra:analysis Frec:37 LogProb:-8.756247389160519
Palabra:analyst Frec:19 LogProb:-9.398101275332914
Palabra:analysts Frec:13 LogProb:-9.754776219271646
Palabra:analyzed Frec:6 LogProb:-10.447923399831591
Palabra:analyzing Frec:2 LogProb:-11.295221260218796
Palabra:ancestors Frec:3 LogProb:-11.007539187767014
Palabra:ancient Frec:3 LogProb:-11.007539187767014
Palabra:android Frec:7 LogProb:-10.314392007207069
Palabra:anecdotes Frec:2 LogProb:-11.295221260218796
Palabra:angel Frec:7 LogProb:-10.314392007207069
Palabra:angels Frec:4 LogProb:-10.784395636452805
Palabra:angry Frec:6 LogProb:-10.447923399831591
Palabra:anhydrous Frec:2 LogProb:-11.295221260218796
Palabra:animal Frec:30 LogProb:-8.959846344401758
Palabra:animals Frec:15 LogProb:-9.621244826647123
Palabra:anniversary Frec:3 LogProb:-11.007539187767014
Palabra:annotated Frec:4 LogProb:-10.784395636452805
Palabra:announce Frec:32 LogProb:-8.897325987420425
Palabra:announced Frec:110 LogProb:-7.684303347574571
Palabra:announcement Frec:30 LogProb:-8.959846344401758
Palabra:announcements Frec:9 LogProb:-10.09124845589286
Palabra:announces Frec:22 LogProb:-9.258339332957755
Palabra:announcing Frec:16 LogProb:-9.560620204830688
Palabra:annoying Frec:3 LogProb:-11.007539187767014
Palabra:annual Frec:15 LogProb:-9.621244826647123
Palabra:annually Frec:2 LogProb:-11.295221260218796
Palabra:annuals Frec:3 LogProb:-11.007539187767014
Palabra:annuities Frec:2 LogProb:-11.295221260218796
Palabra:anonymous Frec:4 LogProb:-10.784395636452805
Palabra:answer Frec:55 LogProb:-8.368481858151755
Palabra:answered Frec:16 LogProb:-9.560620204830688
Palabra:answering Frec:6 LogProb:-10.447923399831591
Palabra:answers Frec:30 LogProb:-8.959846344401758
Palabra:anthem Frec:4 LogProb:-10.784395636452805
Palabra:anti Frec:18 LogProb:-9.449394569720464
Palabra:antibacterial Frec:22 LogProb:-9.258339332957755
Palabra:antibiotics Frec:4 LogProb:-10.784395636452805
Palabra:antibodies Frec:4 LogProb:-10.784395636452805
Palabra:anticipate Frec:11 LogProb:-9.908926899098905
Palabra:anticipated Frec:7 LogProb:-10.314392007207069
Palabra:anticipation Frec:6 LogProb:-10.447923399831591
Palabra:antidotes Frec:3 LogProb:-11.007539187767014
Palabra:antimicrobial Frec:2 LogProb:-11.295221260218796
Palabra:antiseptic Frec:2 LogProb:-11.295221260218796
Palabra:antiviral Frec:5 LogProb:-10.60207407965885
Palabra:antivirus Frec:2 LogProb:-11.295221260218796
Palabra:anus Frec:2 LogProb:-11.295221260218796
Palabra:anxiety Frec:35 LogProb:-8.810314610430794
Palabra:anxious Frec:17 LogProb:-9.503461790990741
Palabra:anxiously Frec:2 LogProb:-11.295221260218796
Palabra:anymore Frec:20 LogProb:-9.349311111163482
Palabra:anytime Frec:7 LogProb:-10.314392007207069
Palabra:apartment Frec:9 LogProb:-10.09124845589286
Palabra:apartments Frec:3 LogProb:-11.007539187767014
Palabra:apocalypse Frec:17 LogProb:-9.503461790990741
Palabra:apologize Frec:7 LogProb:-10.314392007207069
Palabra:apothecary Frec:2 LogProb:-11.295221260218796
Palabra:app Frec:80 LogProb:-7.999384394214466
Palabra:apparatus Frec:2 LogProb:-11.295221260218796
Palabra:apparel Frec:5 LogProb:-10.60207407965885
Palabra:apparent Frec:6 LogProb:-10.447923399831591
Palabra:apparently Frec:44 LogProb:-8.587171059116585
Palabra:appeal Frec:19 LogProb:-9.398101275332914
Palabra:appealing Frec:9 LogProb:-10.09124845589286
Palabra:appeals Frec:2 LogProb:-11.295221260218796
Palabra:appearance Frec:4 LogProb:-10.784395636452805
Palabra:appeared Frec:5 LogProb:-10.60207407965885
Palabra:appearing Frec:6 LogProb:-10.447923399831591
Palabra:appears Frec:13 LogProb:-9.754776219271646
Palabra:appetite Frec:2 LogProb:-11.295221260218796
Palabra:applaud Frec:14 LogProb:-9.685783347784694
Palabra:applauded Frec:5 LogProb:-10.60207407965885
Palabra:applauding Frec:3 LogProb:-11.007539187767014
Palabra:applauds Frec:5 LogProb:-10.60207407965885
Palabra:applause Frec:6 LogProb:-10.447923399831591
Palabra:apple Frec:24 LogProb:-9.174957724018704
Palabra:apples Frec:2 LogProb:-11.295221260218796
Palabra:appliances Frec:10 LogProb:-9.995938276088534
Palabra:applicable Frec:4 LogProb:-10.784395636452805
Palabra:application Frec:9 LogProb:-10.09124845589286
Palabra:applications Frec:11 LogProb:-9.908926899098905
Palabra:applied Frec:12 LogProb:-9.828884191425368
Palabra:applies Frec:10 LogProb:-9.995938276088534
Palabra:apply Frec:47 LogProb:-8.522632537979014
Palabra:applying Frec:7 LogProb:-10.314392007207069
Palabra:appointment Frec:11 LogProb:-9.908926899098905
Palabra:appointments Frec:6 LogProb:-10.447923399831591
Palabra:appreciated Frec:42 LogProb:-8.632633433193343
Palabra:appreciates Frec:4 LogProb:-10.784395636452805
Palabra:appreciating Frec:3 LogProb:-11.007539187767014
Palabra:appreciation Frec:32 LogProb:-8.897325987420425
Palabra:appreciative Frec:3 LogProb:-11.007539187767014
Palabra:approach Frec:30 LogProb:-8.959846344401758
Palabra:approaches Frec:5 LogProb:-10.60207407965885
Palabra:appropriately Frec:7 LogProb:-10.314392007207069
Palabra:approval Frec:13 LogProb:-9.754776219271646
Palabra:approve Frec:11 LogProb:-9.908926899098905
Palabra:approved Frec:61 LogProb:-8.266699163841814
Palabra:approves Frec:3 LogProb:-11.007539187767014
Palabra:approx Frec:4 LogProb:-10.784395636452805
Palabra:approximately Frec:7 LogProb:-10.314392007207069
Palabra:apps Frec:37 LogProb:-8.756247389160519
Palabra:aprons Frec:2 LogProb:-11.295221260218796
Palabra:apt Frec:2 LogProb:-11.295221260218796
Palabra:aquarium Frec:2 LogProb:-11.295221260218796
Palabra:arbitrage Frec:3 LogProb:-11.007539187767014
Palabra:arch Frec:2 LogProb:-11.295221260218796
Palabra:arctic Frec:2 LogProb:-11.295221260218796
Palabra:area Frec:122 LogProb:-7.581649193514488
Palabra:areas Frec:54 LogProb:-8.386500363654434
Palabra:arena Frec:3 LogProb:-11.007539187767014
Palabra:arguably Frec:2 LogProb:-11.295221260218796
Palabra:argue Frec:4 LogProb:-10.784395636452805
Palabra:argues Frec:5 LogProb:-10.60207407965885
Palabra:arguing Frec:4 LogProb:-10.784395636452805
Palabra:argument Frec:4 LogProb:-10.784395636452805
Palabra:arguments Frec:4 LogProb:-10.784395636452805
Palabra:arising Frec:5 LogProb:-10.60207407965885
Palabra:arm Frec:8 LogProb:-10.196608971550685
Palabra:armed Frec:7 LogProb:-10.314392007207069
Palabra:arms Frec:10 LogProb:-9.995938276088534
Palabra:army Frec:20 LogProb:-9.349311111163482
Palabra:arrange Frec:6 LogProb:-10.447923399831591
Palabra:arrangement Frec:2 LogProb:-11.295221260218796
Palabra:arrangements Frec:9 LogProb:-10.09124845589286
Palabra:arrears Frec:2 LogProb:-11.295221260218796
Palabra:arrest Frec:3 LogProb:-11.007539187767014
Palabra:arrested Frec:4 LogProb:-10.784395636452805
Palabra:arrival Frec:4 LogProb:-10.784395636452805
Palabra:arrive Frec:10 LogProb:-9.995938276088534
Palabra:arrived Frec:15 LogProb:-9.621244826647123
Palabra:arrives Frec:4 LogProb:-10.784395636452805
Palabra:arriving Frec:7 LogProb:-10.314392007207069
Palabra:arrows Frec:5 LogProb:-10.60207407965885
Palabra:art Frec:23 LogProb:-9.21577971853896
Palabra:arthritis Frec:4 LogProb:-10.784395636452805
Palabra:article Frec:135 LogProb:-7.481178663150852
Palabra:articles Frec:16 LogProb:-9.560620204830688
Palabra:artificial Frec:7 LogProb:-10.314392007207069
Palabra:artificially Frec:6 LogProb:-10.447923399831591
Palabra:artist Frec:12 LogProb:-9.828884191425368
Palabra:artists Frec:13 LogProb:-9.754776219271646
Palabra:arts Frec:5 LogProb:-10.60207407965885
Palabra:artwork Frec:3 LogProb:-11.007539187767014
Palabra:asap Frec:21 LogProb:-9.302791095528589
Palabra:ash Frec:4 LogProb:-10.784395636452805
Palabra:ashamed Frec:8 LogProb:-10.196608971550685
Palabra:asked Frec:88 LogProb:-7.905197179154765
Palabra:asks Frec:13 LogProb:-9.754776219271646
Palabra:asleep Frec:3 LogProb:-11.007539187767014
Palabra:asparagus Frec:2 LogProb:-11.295221260218796
Palabra:aspect Frec:4 LogProb:-10.784395636452805
Palabra:aspects Frec:8 LogProb:-10.196608971550685
Palabra:ass Frec:19 LogProb:-9.398101275332914
Palabra:asses Frec:4 LogProb:-10.784395636452805
Palabra:assess Frec:9 LogProb:-10.09124845589286
Palabra:assessing Frec:2 LogProb:-11.295221260218796
Palabra:assessment Frec:8 LogProb:-10.196608971550685
Palabra:asset Frec:36 LogProb:-8.78291563624268
Palabra:assets Frec:15 LogProb:-9.621244826647123
Palabra:asshole Frec:10 LogProb:-9.995938276088534
Palabra:assholes Frec:3 LogProb:-11.007539187767014
Palabra:assigned Frec:2 LogProb:-11.295221260218796
Palabra:assignments Frec:6 LogProb:-10.447923399831591
Palabra:assist Frec:27 LogProb:-9.0616290387117
Palabra:assistance Frec:68 LogProb:-8.159727044289646
Palabra:assistant Frec:12 LogProb:-9.828884191425368
Palabra:assistants Frec:9 LogProb:-10.09124845589286
Palabra:assisted Frec:2 LogProb:-11.295221260218796
Palabra:assisting Frec:4 LogProb:-10.784395636452805
Palabra:associate Frec:8 LogProb:-10.196608971550685
Palabra:associates Frec:27 LogProb:-9.0616290387117
Palabra:association Frec:24 LogProb:-9.174957724018704
Palabra:assortment Frec:2 LogProb:-11.295221260218796
Palabra:assume Frec:13 LogProb:-9.754776219271646
