Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:195855
Palabra:alright Frec:6 LogProb:-10.326352777705333
Palabra:altered Frec:4 LogProb:-10.662825014326547
Palabra:altering Frec:1 LogProb:-11.579115746200701
Palabra:alternate Frec:3 LogProb:-10.885968565640756
Palabra:alternative Frec:16 LogProb:-9.439049582704431
Palabra:alternatives Frec:7 LogProb:-10.19282138508081
Palabra:altogether Frec:5 LogProb:-10.480503457532592
Palabra:amazing Frec:13 LogProb:-9.633205597145388
Palabra:amazon Frec:92 LogProb:-7.73966343360739
Palabra:ambassador Frec:1 LogProb:-11.579115746200701
Palabra:ambulance Frec:6 LogProb:-10.326352777705333
Palabra:amend Frec:5 LogProb:-10.480503457532592
Palabra:amenities Frec:3 LogProb:-10.885968565640756
Palabra:amid Frec:492 LogProb:-6.071753752717957
Palabra:ammo Frec:17 LogProb:-9.381891168864481
Palabra:ammunition Frec:6 LogProb:-10.326352777705333
Palabra:amount Frec:68 LogProb:-8.038156422163386
Palabra:amounts Frec:20 LogProb:-9.227740489037224
Palabra:amp Frec:1996 LogProb:-4.672861593344831
Palabra:ample Frec:9 LogProb:-9.9696778337666
Palabra:analysis Frec:41 LogProb:-8.534593308477278
Palabra:analyst Frec:18 LogProb:-9.327823947594206
Palabra:analysts Frec:23 LogProb:-9.094209096412701
Palabra:analyzed Frec:2 LogProb:-11.173650638092537
Palabra:angel Frec:3 LogProb:-10.885968565640756
Palabra:angels Frec:3 LogProb:-10.885968565640756
Palabra:angry Frec:33 LogProb:-8.745902402144484
Palabra:animal Frec:23 LogProb:-9.094209096412701
Palabra:animals Frec:21 LogProb:-9.18122047340233
Palabra:animation Frec:4 LogProb:-10.662825014326547
Palabra:announce Frec:10 LogProb:-9.874367653962276
Palabra:announced Frec:76 LogProb:-7.928457504906962
Palabra:announcement Frec:21 LogProb:-9.18122047340233
Palabra:announcements Frec:7 LogProb:-10.19282138508081
Palabra:announces Frec:11 LogProb:-9.787356276972647
Palabra:announcing Frec:6 LogProb:-10.326352777705333
Palabra:annoyed Frec:8 LogProb:-10.075038349424426
Palabra:annoying Frec:13 LogProb:-9.633205597145388
Palabra:annual Frec:9 LogProb:-9.9696778337666
Palabra:anonymous Frec:2 LogProb:-11.173650638092537
Palabra:answer Frec:34 LogProb:-8.716914865271233
Palabra:answered Frec:11 LogProb:-9.787356276972647
Palabra:answering Frec:4 LogProb:-10.662825014326547
Palabra:answers Frec:10 LogProb:-9.874367653962276
Palabra:anti Frec:45 LogProb:-8.443621530271551
Palabra:antibacterial Frec:8 LogProb:-10.075038349424426
Palabra:antibiotics Frec:1 LogProb:-11.579115746200701
Palabra:antibodies Frec:3 LogProb:-10.885968565640756
Palabra:anticipate Frec:9 LogProb:-9.9696778337666
Palabra:anticipated Frec:3 LogProb:-10.885968565640756
Palabra:anticipating Frec:6 LogProb:-10.326352777705333
Palabra:anticipation Frec:6 LogProb:-10.326352777705333
Palabra:anxieties Frec:7 LogProb:-10.19282138508081
Palabra:anxiety Frec:112 LogProb:-7.544875108048306
Palabra:anxious Frec:26 LogProb:-8.976426060756317
Palabra:anymore Frec:19 LogProb:-9.276530653206656
Palabra:anytime Frec:5 LogProb:-10.480503457532592
Palabra:apartment Frec:9 LogProb:-9.9696778337666
Palabra:apartments Frec:2 LogProb:-11.173650638092537
Palabra:apocalypse Frec:20 LogProb:-9.227740489037224
Palabra:apocalyptic Frec:8 LogProb:-10.075038349424426
Palabra:apologize Frec:4 LogProb:-10.662825014326547
Palabra:app Frec:25 LogProb:-9.014166388739165
Palabra:appalled Frec:8 LogProb:-10.075038349424426
Palabra:appalling Frec:14 LogProb:-9.564212725658436
Palabra:apparel Frec:5 LogProb:-10.480503457532592
Palabra:apparent Frec:8 LogProb:-10.075038349424426
Palabra:apparently Frec:46 LogProb:-8.422115325050587
Palabra:appeal Frec:10 LogProb:-9.874367653962276
Palabra:appealing Frec:2 LogProb:-11.173650638092537
Palabra:appeals Frec:3 LogProb:-10.885968565640756
Palabra:appearance Frec:2 LogProb:-11.173650638092537
Palabra:appeared Frec:4 LogProb:-10.662825014326547
Palabra:appearing Frec:4 LogProb:-10.662825014326547
Palabra:appears Frec:21 LogProb:-9.18122047340233
Palabra:appetite Frec:4 LogProb:-10.662825014326547
Palabra:applauded Frec:1 LogProb:-11.579115746200701
Palabra:applause Frec:2 LogProb:-11.173650638092537
Palabra:apple Frec:11 LogProb:-9.787356276972647
Palabra:apples Frec:7 LogProb:-10.19282138508081
Palabra:applicable Frec:2 LogProb:-11.173650638092537
Palabra:application Frec:3 LogProb:-10.885968565640756
Palabra:applications Frec:3 LogProb:-10.885968565640756
Palabra:applied Frec:5 LogProb:-10.480503457532592
Palabra:applies Frec:5 LogProb:-10.480503457532592
