Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:223478
Palabra:assuring Frec:3 LogProb:-11.007539187767014
Palabra:asthma Frec:6 LogProb:-10.447923399831591
Palabra:asthmatic Frec:4 LogProb:-10.784395636452805
Palabra:astronomical Frec:6 LogProb:-10.447923399831591
Palabra:asymptomatic Frec:13 LogProb:-9.754776219271646
Palabra:ate Frec:3 LogProb:-11.007539187767014
Palabra:athletes Frec:13 LogProb:-9.754776219271646
Palabra:attached Frec:9 LogProb:-10.09124845589286
Palabra:attack Frec:3 LogProb:-11.007539187767014
Palabra:attacked Frec:2 LogProb:-11.295221260218796
Palabra:attacks Frec:2 LogProb:-11.295221260218796
Palabra:attempt Frec:14 LogProb:-9.685783347784694
Palabra:attempted Frec:3 LogProb:-11.007539187767014
Palabra:attempting Frec:9 LogProb:-10.09124845589286
Palabra:attempts Frec:1 LogProb:-11.70068636832696
Palabra:attend Frec:13 LogProb:-9.754776219271646
Palabra:attendants Frec:20 LogProb:-9.349311111163482
Palabra:attending Frec:4 LogProb:-10.784395636452805
Palabra:attention Frec:34 LogProb:-8.838485487397492
Palabra:attitude Frec:7 LogProb:-10.314392007207069
Palabra:attitudes Frec:23 LogProb:-9.21577971853896
Palabra:attorney Frec:27 LogProb:-9.0616290387117
Palabra:attorneys Frec:4 LogProb:-10.784395636452805
Palabra:attract Frec:5 LogProb:-10.60207407965885
Palabra:attractive Frec:6 LogProb:-10.447923399831591
Palabra:auction Frec:3 LogProb:-11.007539187767014
Palabra:audience Frec:2 LogProb:-11.295221260218796
Palabra:audiences Frec:5 LogProb:-10.60207407965885
Palabra:audio Frec:3 LogProb:-11.007539187767014
Palabra:august Frec:3 LogProb:-11.007539187767014
Palabra:aunt Frec:3 LogProb:-11.007539187767014
Palabra:austerity Frec:1 LogProb:-11.70068636832696
Palabra:author Frec:4 LogProb:-10.784395636452805
Palabra:authorities Frec:31 LogProb:-8.928097646087178
Palabra:authority Frec:31 LogProb:-8.928097646087178
Palabra:authorized Frec:4 LogProb:-10.784395636452805
Palabra:authors Frec:3 LogProb:-11.007539187767014
Palabra:auto Frec:29 LogProb:-8.992636167224749
Palabra:autoimmune Frec:2 LogProb:-11.295221260218796
Palabra:automated Frec:4 LogProb:-10.784395636452805
Palabra:automatic Frec:5 LogProb:-10.60207407965885
Palabra:automatically Frec:10 LogProb:-9.995938276088534
Palabra:automation Frec:7 LogProb:-10.314392007207069
Palabra:automotive Frec:6 LogProb:-10.447923399831591
Palabra:avail Frec:5 LogProb:-10.60207407965885
Palabra:availability Frec:28 LogProb:-9.02653771890043
Palabra:ave Frec:7 LogProb:-10.314392007207069
Palabra:avenue Frec:4 LogProb:-10.784395636452805
Palabra:average Frec:40 LogProb:-8.680261482182598
Palabra:avg Frec:4 LogProb:-10.784395636452805
Palabra:aviation Frec:5 LogProb:-10.60207407965885
Palabra:avoid Frec:148 LogProb:-7.3898872429414455
Palabra:avoided Frec:4 LogProb:-10.784395636452805
Palabra:avoiding Frec:18 LogProb:-9.449394569720464
Palabra:await Frec:4 LogProb:-10.784395636452805
Palabra:awaiting Frec:3 LogProb:-11.007539187767014
Palabra:awake Frec:3 LogProb:-11.007539187767014
Palabra:aware Frec:53 LogProb:-8.40484950232263
Palabra:awareness Frec:31 LogProb:-8.928097646087178
Palabra:awesome Frec:41 LogProb:-8.656163930603537
Palabra:awful Frec:9 LogProb:-10.09124845589286
Palabra:awhile Frec:4 LogProb:-10.784395636452805
Palabra:awkward Frec:3 LogProb:-11.007539187767014
Palabra:babies Frec:8 LogProb:-10.196608971550685
Palabra:baby Frec:51 LogProb:-8.442589830305478
Palabra:back Frec:410 LogProb:-6.3752403343906705
Palabra:backbone Frec:5 LogProb:-10.60207407965885
Palabra:backed Frec:11 LogProb:-9.908926899098905
Palabra:background Frec:3 LogProb:-11.007539187767014
Palabra:bacon Frec:9 LogProb:-10.09124845589286
Palabra:bacteria Frec:22 LogProb:-9.258339332957755
Palabra:bacterial Frec:10 LogProb:-9.995938276088534
Palabra:bad Frec:69 LogProb:-8.145338306837544
Palabra:badge Frec:4 LogProb:-10.784395636452805
Palabra:badly Frec:7 LogProb:-10.314392007207069
Palabra:bag Frec:56 LogProb:-8.350782281052354
Palabra:bagging Frec:5 LogProb:-10.60207407965885
Palabra:bags Frec:78 LogProb:-8.024385696419884
Palabra:bail Frec:11 LogProb:-9.908926899098905
Palabra:bailing Frec:4 LogProb:-10.784395636452805
Palabra:bailout Frec:12 LogProb:-9.828884191425368
Palabra:bailouts Frec:15 LogProb:-9.621244826647123
Palabra:bake Frec:3 LogProb:-11.007539187767014
Palabra:baked Frec:13 LogProb:-9.754776219271646
Palabra:baker Frec:8 LogProb:-10.196608971550685
Palabra:bakeries Frec:4 LogProb:-10.784395636452805
Palabra:bakers Frec:6 LogProb:-10.447923399831591
Palabra:bakery Frec:17 LogProb:-9.503461790990741
Palabra:baking Frec:5 LogProb:-10.60207407965885
Palabra:balance Frec:16 LogProb:-9.560620204830688
Palabra:balcony Frec:4 LogProb:-10.784395636452805
Palabra:ball Frec:7 LogProb:-10.314392007207069
Palabra:balls Frec:4 LogProb:-10.784395636452805
Palabra:ban Frec:13 LogProb:-9.754776219271646
Palabra:banana Frec:5 LogProb:-10.60207407965885
Palabra:bananas Frec:11 LogProb:-9.908926899098905
Palabra:band Frec:5 LogProb:-10.60207407965885
Palabra:bang Frec:2 LogProb:-11.295221260218796
Palabra:bank Frec:215 LogProb:-7.018555141202739
Palabra:bankers Frec:19 LogProb:-9.398101275332914
Palabra:banking Frec:13 LogProb:-9.754776219271646
Palabra:bankruptcy Frec:7 LogProb:-10.314392007207069
Palabra:banks Frec:172 LogProb:-7.240541954389125
Palabra:banned Frec:6 LogProb:-10.447923399831591
